task,k50,k90
nat_pred,2,3
list_append,3,5
list_sort_sorted_insert,3,5
list_tl,2,3
nat_add,5,6
list_length,3,4
list_concat,2,4
tree_collect_leaves,3,4
list_hd,2,3
tree_count_nodes,4,16
list_snoc,3,4
bool_impl,3,4
tree_inorder,3,4
list_rev_tailcall,3,5
bool_neg,2,2
list_rev_append,5,9
bool_xor,4,4
list_nth,8,16
list_drop,6,10
nat_iseven,4,4
list_last,6,10
list_take,7,11
list_sum,2,2
nat_max,8,11
list_inc,2,2
list_rev_snoc,3,6
tree_preorder,3,3
list_rev_fold,2,4
bool_bor,4,4
bool_band,4,4
list_stutter,2,4
